device,arquivo,total_packets,total_bytes,avg_packet_size,max_packet_size,min_packet_size,tcp_packets,udp_packets,dns_packets,icmp_packets,arp_packets,unique_source_ips,unique_destination_ips,unique_ports,capture_duration,packets_per_second,bytes_per_second,tcp_ratio,udp_ratio,dns_ratio,icmp_ratio
google-home-mini,2021-08-04_04:25:06.19s.pcap,253,172866,683.2648221343874,1392,66,3,250,4,0,0,5,5,8,16.220131158828735,15.597900998617403,10657.497051490103,0.011857707509881422,0.9881422924901185,0.015810276679841896,0.0
google-home-mini,2021-08-04_01:26:42.19s.pcap,325,210396,647.3723076923077,1392,66,11,306,4,8,0,7,7,9,17.513915061950684,18.556673299510784,12013.076416996526,0.033846153846153845,0.9415384615384615,0.012307692307692308,0.024615384615384615
google-home-mini,2021-08-04_04:25:46.19s.pcap,273,201745,738.992673992674,1392,42,7,264,0,0,2,5,6,8,16.56251287460327,16.483006055114647,12180.820720106609,0.02564102564102564,0.967032967032967,0.0,0.0
google-home-mini,2021-08-04_03:49:21.19s.pcap,290,175417,604.8862068965517,1484,42,20,260,8,8,2,6,6,10,16.24034595489502,17.856762460937034,10801.309312448937,0.06896551724137931,0.896551724137931,0.027586206896551724,0.027586206896551724
google-home-mini,2021-08-04_03:13:36.19s.pcap,277,175957,635.2238267148015,1484,42,20,255,4,0,2,6,6,11,10.158870935440063,27.266809644530724,17320.527164702864,0.07220216606498195,0.9205776173285198,0.01444043321299639,0.0
google-home-mini,2021-08-04_06:11:13.19s.pcap,270,196607,728.174074074074,1392,67,0,270,0,0,0,3,3,3,10.005542993545532,26.985042208521225,19649.80812403975,0.0,1.0,0.0,0.0
google-home-mini,2021-08-03_23:03:58.20s.pcap,278,178038,640.4244604316547,1392,66,3,275,6,0,0,6,6,10,16.590577125549316,16.756499662201797,10731.27225488879,0.01079136690647482,0.9892086330935251,0.02158273381294964,0.0
google-home-mini,2021-08-04_02:38:06.19s.pcap,277,175412,633.2563176895306,1392,66,4,265,8,8,0,6,6,10,9.991534948348999,27.723468058906352,17556.061296566357,0.01444043321299639,0.9566787003610109,0.02888086642599278,0.02888086642599278
google-home-mini,2021-08-03_23:39:45.19s.pcap,286,200503,701.0594405594405,1392,66,11,275,0,0,0,5,5,7,13.43143892288208,21.29332543163074,14927.886814749156,0.038461538461538464,0.9615384615384616,0.0,0.0
google-home-mini,2021-08-04_00:50:13.19s.pcap,295,191658,649.6881355932203,1484,66,21,274,4,0,0,5,5,9,10.14293122291565,29.08429462022916,18895.72114686061,0.0711864406779661,0.9288135593220339,0.013559322033898305,0.0
google-home-mini,2021-08-04_05:00:48.20s.pcap,290,209234,721.4965517241379,1392,42,7,281,0,0,2,5,6,8,12.931591033935547,22.4257014654246,16180.066277298794,0.02413793103448276,0.9689655172413794,0.0,0.0
google-home-mini,2021-08-04_02:03:16.19s.pcap,290,206703,712.7689655172413,1392,67,0,289,0,0,0,3,4,4,11.241822004318237,25.79653012550852,18386.96609149306,0.0,0.996551724137931,0.0,0.0
google-home-mini,2021-08-04_05:35:44.19s.pcap,305,214552,703.4491803278688,1392,66,2,303,0,0,0,4,4,5,9.98450779914856,30.547324528707286,21488.490400928542,0.006557377049180328,0.9934426229508196,0.0,0.0
google-home-mini,2021-08-04_05:00:09.19s.pcap,253,164781,651.3083003952569,1392,66,2,251,4,0,0,5,5,8,9.99428391456604,25.314469967304852,16487.5244098121,0.007905138339920948,0.9920948616600791,0.015810276679841896,0.0
google-home-mini,2021-08-04_05:35:04.19s.pcap,267,174356,653.0187265917604,1392,66,10,257,4,0,0,6,7,12,16.777642965316772,15.914035156901962,10392.162973096623,0.03745318352059925,0.9625468164794008,0.0149812734082397,0.0
google-home-mini,2021-08-04_02:02:36.20s.pcap,298,181803,610.0771812080537,1392,42,9,285,4,2,2,6,6,8,16.41136908531189,18.158143811823038,11077.869192687462,0.030201342281879196,0.9563758389261745,0.013422818791946308,0.006711409395973154
google-home-mini,2021-08-04_06:10:33.19s.pcap,275,175034,636.4872727272727,1392,42,2,263,8,8,2,6,6,9,10.666876077651978,25.78074386522111,16409.11535165495,0.007272727272727273,0.9563636363636364,0.02909090909090909,0.02909090909090909
google-home-mini,2021-08-03_23:39:04.20s.pcap,305,189085,619.9508196721312,1484,66,15,288,6,2,0,7,7,11,13.98893690109253,21.802943437122778,13516.752655109378,0.04918032786885246,0.9442622950819672,0.019672131147540985,0.006557377049180328
google-home-mini,2021-08-04_00:50:53.19s.pcap,274,189335,691.0036496350365,1392,66,8,266,0,0,0,5,5,7,14.703124046325684,18.635495363889873,12877.195309204706,0.029197080291970802,0.9708029197080292,0.0,0.0
